User Name,Pach Vai Restaurant,Pansi Restaurant,Wondal Restaurant,Royal Dine Restaurant,Voujon Bari,Sip Coffee Restaurant,Kababia Restaurant Restaurant,Platinum Lounge,Big Bite Restaurant,Pizza Hut,Alpine Restaurant,KFC,Food House,Asmi Food,Food Lounge,Royal Kitchen,MadChef,Cafe Aarko,Spicy Restaurant & Party Center,Nawabs Kitchen,The Mad Grill Restaurant,ADDA Restaurant & Cafe,Kebab Garden,MEATUP,Palki Restaurant,Rainbow Chinese Restaurant,Saffron Restaurant,Stacks O'Snacks,Curry Royal,Hattrick Cafe & Restaurant,Spicy Restaurant & Party Center,Snack's Lane,Hideout Cafe,Mughal Restaurant - Sylhet,New Handi Restaurant,Spice village,food drive,Karagar Restaurant and cafe,Cafe Europeo,Buffet House and Restaurant,Mezban Bari Restaurant,Rain Terrace,Ishtikutum Chinese Restaurant,The Magician Restaurant,Dhaba Restaurant,Big Bite Restaurant,Pizza Express,Fuchka Garden,Ambrosia Food Factory,Yummy Hut,Pritiraj Restaurant,Cafe Shunno,Kebabish Original,Well Foods,Fat Belly,Sizzler,Sip & Bite,BBQ Nation - বিবিকিউ নেশন,Randhon Kabbo Restaurant,Mughal Masala,Go Nuts,Calorie Hype,Tandoori House,The Coffee Club,Hum Tum Restaurant,Treat Gallery,Mouroshi Restaurant,Hungry Station,Chick Chicken,Fatema Restaurant,Chaat Buzz,Bar-B-Q Factory,President Restaurant,The Titanic,Panthumai Restauran,What the ফুচকা,Panshi Inn,Dingi Resturant ডিঙি রেস্টুরেন্ট,Demon's Cave,Bay Leaf Chinese Restaurant,La Rose Hotel,রন্ধন কাব্য রেষ্টুরেন্ট,Inayah's Cafe & Restaurant,Club Coffee Sylhet,Cafe La Vista€,Himur Bhujon Bilash,Delhi Darbar,Delhi Restaurant,,
Niloy,4,4,5,4,,4,4,5,4,4,3,3,3,5,3,3,3,5,5,4,3,5,4,3,5,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4
Tanvir ,4,5,2,4,,4,4,4,4,3,5,5,4,5,3,4,5,5,5,4,5,5,3,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4
Maruf Ahmed,3,1,4,4,,4,4,4,3,4,4,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
Joy,3,3,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3
rashelahmed,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
অসীম চন্দ্র দাস,4,4,4,5,,5,4,3,3,4,4,4,4,3,3,5,4,5,4,4,5,5,4,4,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5
Hriday,5,5,4,3,,3,3,5,3,5,3,5,3,3,3,5,5,3,4,4,3,4,3,3,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
Excommunicado,5,5,5,5,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5
Nayeem khan ,1,1,0,0,,2,1,2,0,2,2,4,3,1,1,0,1,3,1,1,2,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1
Tawsif ,4,4,4,4,,4,0,0,4,0,0,0,0,4,4,4,1,3,4,1,5,0,0,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4
